country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","17-01-2025 18:00:00",26.071318,91.87488,PM10,75,252,177
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","17-01-2025 18:00:00",26.071318,91.87488,NH3,1,5,3
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","17-01-2025 18:00:00",26.071318,91.87488,OZONE,22,57,43
India,Assam,Guwahati,"IITG, Guwahati - PCBA","17-01-2025 18:00:00",26.2028636,91.70046436,PM10,59,199,152
India,Assam,Guwahati,"IITG, Guwahati - PCBA","17-01-2025 18:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","17-01-2025 18:00:00",26.2028636,91.70046436,SO2,18,21,19
India,Assam,Guwahati,"IITG, Guwahati - PCBA","17-01-2025 18:00:00",26.2028636,91.70046436,OZONE,10,30,22
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2025 18:00:00",26.10887,91.589544,PM10,38,151,96
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2025 18:00:00",26.10887,91.589544,NH3,1,11,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2025 18:00:00",26.10887,91.589544,CO,11,52,26
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2025 18:00:00",26.10887,91.589544,OZONE,14,23,18
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","17-01-2025 18:00:00",26.187500,91.744194,PM10,51,234,124
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","17-01-2025 18:00:00",26.181742,91.78063,PM2.5,70,400,281
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","17-01-2025 18:00:00",14.465052,78.824187,SO2,15,16,15
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","17-01-2025 18:00:00",16.9872867,81.7363176,NH3,2,6,4
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","17-01-2025 18:00:00",16.9872867,81.7363176,SO2,13,40,23
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","17-01-2025 18:00:00",16.9872867,81.7363176,OZONE,1,5,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","17-01-2025 18:00:00",13.615387,79.409230,PM2.5,12,500,236
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","17-01-2025 18:00:00",16.536107,80.594233,PM10,49,99,59
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","17-01-2025 18:00:00",16.536107,80.594233,NO2,8,10,9
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","17-01-2025 18:00:00",16.536107,80.594233,SO2,7,10,8
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","17-01-2025 18:00:00",16.486692,80.699436,PM2.5,57,428,100
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","17-01-2025 18:00:00",16.486692,80.699436,PM10,48,147,72
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","17-01-2025 18:00:00",27.308328,84.531742,PM10,110,191,137
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","17-01-2025 18:00:00",27.308328,84.531742,CO,23,76,36
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","17-01-2025 18:00:00",26.63086,84.90051,PM10,49,181,103
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","17-01-2025 18:00:00",26.63086,84.90051,OZONE,11,13,12
India,Bihar,Munger,"Town Hall, Munger - BSPCB","17-01-2025 18:00:00",25.376776,86.471523,PM10,130,239,153
India,Bihar,Munger,"Town Hall, Munger - BSPCB","17-01-2025 18:00:00",25.376776,86.471523,NO2,30,34,31
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.11442,85.39813,PM2.5,143,336,253
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.11442,85.39813,NO2,3,30,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.11442,85.39813,NH3,4,9,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","17-01-2025 18:00:00",26.11442,85.39813,CO,35,103,43
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","17-01-2025 18:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","17-01-2025 18:00:00",25.204762,85.514960,CO,2,46,16
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","17-01-2025 18:00:00",25.567520,83.966379,SO2,2,6,4
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","17-01-2025 18:00:00",25.7808257,84.7446768,PM2.5,85,157,124
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","17-01-2025 18:00:00",25.7808257,84.7446768,PM10,101,136,123
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","17-01-2025 18:00:00",24.7955,84.9994,OZONE,20,20,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","17-01-2025 18:00:00",24.792403,84.992416,NO2,14,19,16
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","17-01-2025 18:00:00",26.80365,84.51954,PM10,114,310,183
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","17-01-2025 18:00:00",26.80365,84.51954,NH3,12,16,15
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","17-01-2025 18:00:00",25.251013,86.989001,NO2,20,40,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","17-01-2025 18:00:00",25.251013,86.989001,SO2,15,38,29
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","17-01-2025 18:00:00",25.265194,87.012947,NO2,6,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","17-01-2025 18:00:00",25.265194,87.012947,CO,12,55,28
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","17-01-2025 18:00:00",25.204762,85.514960,PM10,131,182,150
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","17-01-2025 18:00:00",24.792403,84.992416,OZONE,22,101,62
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","17-01-2025 18:00:00",24.762518,84.982348,PM2.5,77,232,111
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","17-01-2025 18:00:00",24.762518,84.982348,PM10,76,143,89
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","17-01-2025 18:00:00",25.697189,85.245900,NO2,35,65,47
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","17-01-2025 18:00:00",25.697189,85.245900,SO2,7,9,8
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","17-01-2025 18:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","17-01-2025 18:00:00",25.560083,87.553265,OZONE,22,29,27
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","17-01-2025 18:00:00",26.987634,94.636574,PM10,30,99,61
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","17-01-2025 18:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","17-01-2025 18:00:00",25.5626095,84.663264,CO,8,26,19
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","17-01-2025 18:00:00",24.75746,84.366208,PM2.5,177,359,288
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","17-01-2025 18:00:00",24.75746,84.366208,NO2,5,6,5
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","17-01-2025 18:00:00",24.75746,84.366208,SO2,11,13,12
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","17-01-2025 18:00:00",16.554731,80.649110,NO2,10,14,12
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","17-01-2025 18:00:00",17.72,83.3,CO,20,108,39
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","17-01-2025 18:00:00",27.103358,93.679645,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","17-01-2025 18:00:00",27.103358,93.679645,NO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","17-01-2025 18:00:00",16.5150833,80.5181667,PM10,109,125,116
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","17-01-2025 18:00:00",16.5150833,80.5181667,SO2,10,16,13
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","17-01-2025 18:00:00",14.675886,77.593027,OZONE,21,47,40
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2025 18:00:00",26.349082,92.68449,NH3,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2025 18:00:00",26.349082,92.68449,CO,8,80,40
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2025 18:00:00",22.348441,82.549611,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2025 18:00:00",22.348441,82.549611,CO,30,31,30
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","17-01-2025 18:00:00",22.126650,83.483212,PM2.5,44,215,103
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","17-01-2025 18:00:00",22.126650,83.483212,OZONE,2,5,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","17-01-2025 18:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","17-01-2025 18:00:00",22.1910172,83.5197009,CO,7,40,16
